listing_url,scrape_id,last_scraped,thumbnail_url,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,jurisdiction_names,instant_bookable,cancellation_policy,reviews_per_month
https://www.airbnb.com/rooms/7207641,20160104002432,2016-01-04,,Joe & Anna,2013-05-23,50%,N/A,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.556.952.470.360,-12.236.165.259.464.200,House,Entire home/apt,8,3.0,3,3,Real Bed,$348.00,"$2,500.00",,$750.00,$150.00,6,$20.00,3,1125,5 months ago,2016-01-04,5,2015-08-04,2015-09-03,96,WASHINGTON,f,strict,0.97
https://www.airbnb.com/rooms/5062445,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/c11b0dd7-9c75-492c-98e6-f1d8455d4207.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Chris,2014-09-08,31%,100%,1,1,t,f,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.497.873.047.920,-12.235.886.941.246.400,House,Private room,1,1.0,1,1,Futon,$45.00,$450.00,"$1,500.00",,,1,$0.00,1,1125,4 days ago,2016-01-04,7,2015-05-17,2015-12-08,97,WASHINGTON,f,flexible,0.90
https://www.airbnb.com/rooms/8925878,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/b2347d5d-9102-4da8-9d15-7788906df954.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Kevin,2015-08-02,100%,100%,2,2,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.936.210.298.080,-12.237.240.255.654.400,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,$150.00,$950.00,"$2,950.00",,$50.00,2,$25.00,2,365,2 weeks ago,2016-01-04,2,2015-10-25,2015-12-18,100,WASHINGTON,t,moderate,0.83
https://www.airbnb.com/rooms/6389657,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/89999438/3e48537d_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Ruth,2012-04-02,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98109,Seattle,US,United States,476.346.162.843.086,-1.223.580.227.325.530,Apartment,Entire home/apt,2,1.0,0,1,Real Bed,$80.00,,,,$20.00,1,$0.00,3,1125,today,2016-01-04,11,2015-07-22,2015-08-19,98,WASHINGTON,f,flexible,1.98
https://www.airbnb.com/rooms/4218733,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/55089404/9198b949_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Henry,2014-09-28,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.800.137.747.840,-12.236.100.481.691.400,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,$110.00,,,$100.00,$40.00,2,$15.00,2,1125,2 days ago,2016-01-04,71,2014-10-09,2016-01-01,90,WASHINGTON,f,moderate,4.70
https://www.airbnb.com/rooms/2715623,20160104002432,2016-01-04,,Debera,2013-08-18,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.199.585.097.700,-1.223.716.576.650.480,House,Entire home/apt,3,1.0,1,2,Real Bed,$148.00,,,,$100.00,2,$20.00,3,365,today,2016-01-04,9,2014-06-02,2015-10-29,91,WASHINGTON,f,strict,0.46
https://www.airbnb.com/rooms/1392332,20160104002432,2016-01-04,,Holly,2012-05-07,N/A,N/A,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.868.624.334.980,-12.237.079.986.877.400,House,Entire home/apt,4,1.5,2,2,Real Bed,$350.00,"$2,100.00",,$500.00,$100.00,4,$0.00,2,30,5 months ago,2016-01-04,41,2013-07-29,2015-07-31,98,WASHINGTON,f,moderate,1.38
https://www.airbnb.com/rooms/7308567,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/105394828/eb809505_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Nicole,2014-07-03,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.633.650.043.720.500,-12.236.044.969.320.100,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,$150.00,,,,$50.00,1,$0.00,2,1125,today,2016-01-04,18,2015-07-28,2015-12-31,98,WASHINGTON,f,moderate,3.35
https://www.airbnb.com/rooms/6575380,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/82782131/2f8ce2e3_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Sam,2015-05-27,50%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98109,Seattle,US,United States,4.763.430.017.546.050,-12.235.705.980.444.600,House,Private room,5,1.0,1,1,Real Bed,$150.00,$540.00,"$1,911.00",,,1,$0.00,1,1125,3 weeks ago,2016-01-04,9,2015-08-22,2015-09-20,100,WASHINGTON,f,flexible,1.99
https://www.airbnb.com/rooms/6004058,20160104002432,2016-01-04,,Marina,2013-09-24,50%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.628.343.869.748.100,-12.236.640.542.137.900,Apartment,Entire home/apt,2,1.0,0,1,Futon,$100.00,,,,,1,$0.00,1,1125,4 weeks ago,2016-01-04,20,2015-04-18,2016-01-02,92,WASHINGTON,f,flexible,2.29
https://www.airbnb.com/rooms/9550869,20160104002432,2016-01-04,,Maureen,2014-03-06,90%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.539.394.059.410,-12.236.899.114.110.700,Bungalow,Entire home/apt,10,3.0,4,4,Real Bed,$349.00,,,,$200.00,1,$0.00,1,1125,3 days ago,2016-01-04,0,,,,WASHINGTON,f,strict,
https://www.airbnb.com/rooms/8515408,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/110321102/5c52d139_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Jennifer,2012-09-07,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.803.515.893.710,-12.236.091.010.563.600,Bungalow,Entire home/apt,2,1.0,0,1,Real Bed,$110.00,$700.00,,,$50.00,1,$0.00,2,1125,a week ago,2016-01-04,3,2015-10-12,2015-12-31,100,WASHINGTON,f,moderate,01.06
